Date,Open,High,Low,Close,Adj Close,Volume
30-08-2018,2068,2085,2065.5,2082.399902,1869.247314,2408020
31-08-2018,2082.300049,2092,2074,2078.399902,1865.656982,2504554
03-09-2018,2084.800049,2090,2048.399902,2052.899902,1842.766846,1439711
04-09-2018,2059.800049,2104.75,2056.949951,2098.899902,1884.05835,4420803
05-09-2018,2100,2107.25,2075.050049,2079.25,1866.420166,1681106
06-09-2018,2075,2081.5,2060.300049,2075.300049,1862.873901,2238097
07-09-2018,2079.300049,2084,2065.399902,2079.850098,1866.958618,1312182
10-09-2018,2084.399902,2093.399902,2074.25,2080.75,1867.766235,1530539
11-09-2018,2089,2089,2042.199951,2046.25,1836.797974,3679745
12-09-2018,2052.350098,2068.899902,2040,2043.949951,1834.73291,2307661
14-09-2018,2044,2071.550049,2018.150024,2065.399902,1853.987671,3642038
17-09-2018,2070,2077.800049,2054.550049,2074.149902,1861.841919,1033857
18-09-2018,2073,2078.800049,2057.600098,2070.75,1858.789917,1456507
19-09-2018,2071.899902,2089,2066.850098,2077.899902,1865.20813,1301268
21-09-2018,2077,2121,2050.149902,2103.149902,1887.873291,4508530
24-09-2018,2115,2210.5,2098.149902,2198.449951,1973.418701,3032226
25-09-2018,2204.899902,2211.899902,2153.800049,2183.199951,1959.72998,2868778
26-09-2018,2187,2199,2135.100098,2142.149902,1922.881348,1970951
27-09-2018,2141.899902,2209.699951,2135.800049,2188.850098,1964.801636,3311802
28-09-2018,2178,2190,2158.850098,2183.699951,1960.178467,2904371
01-10-2018,2190.899902,2275.949951,2190.350098,2255.550049,2024.673706,3772208
03-10-2018,2250.300049,2255,2155.600098,2162.850098,1941.462891,3902322
04-10-2018,2156.600098,2156.649902,2056.350098,2064.800049,1853.449097,4762419
05-10-2018,2050,2120,2020.900024,2102.649902,1887.424194,3417624
08-10-2018,2102.649902,2122.199951,2048.149902,2077.550049,1864.893921,2010154
09-10-2018,2080.350098,2107.649902,2053.199951,2091.800049,1877.685425,1867130
10-10-2018,2100,2105.949951,2029,2043.599976,1834.418945,2749573
11-10-2018,1985,2013,1941,1979.949951,1777.284302,4700256
